옵션 ID			주문수량		배송사이즈		운임비
73698092858		  1		  S		2650
73698092858		  2		  M		3000
73698092869		  1          	  M		3000
73822738506		  1		  S		2650
73822738506		  2		  M		3000
4482488834		  1		  M		3000
5452715965		  1		  S		2650		
5452715965		  2		  M		3000
73822595837		  1		  S		2650
73822595837		  2		  M		3000
5448016867		  1		  S		2650
5448016867		  2		  M		3000
4476499360		  1		  XL		4500
89735415778		  1		  S		2650
4260558245		  1		  L		3500
4477608051		  1		  L		3500
4260571190		  1		  L		3500
4477008235		  1		  L		3500
4477006264		  1		  L		3500
4477061934		  1		  L		3500
